,0
0,2
1,2
2,3
3,3
4,4
5,5
6,5
7,5
8,5
9,5
10,6
11,6
12,6
13,7
14,8
15,9
16,10
17,10
18,11
19,12
20,13
21,14
22,15
23,15
24,16
25,17
26,18
27,19
28,20
29,20
30,20
31,20
32,21
33,22
34,23
35,24
36,25
37,25
38,26
39,27
40,28
41,29
42,30
43,31
44,32
45,33
46,34
47,35
48,36
49,36
50,37
51,38
52,39
53,40
54,40
55,41
56,41
57,42
58,43
59,44
60,45
61,46
62,47
63,47
64,47
65,47
66,48
67,49
68,50
69,50
70,50
71,51
72,52
73,52
74,53
75,54
76,54
77,54
78,54
79,54
80,55
81,56
82,56
83,56
84,56
85,57
86,58
87,59
88,59
89,59
90,59
91,59
92,60
93,60
94,61
95,62
96,62
97,63
98,64
99,65
100,66
101,66
102,67
103,68
104,68
105,69
106,70
107,70
108,71
109,72
110,73
111,73
112,73
113,74
114,75
115,76
116,77
117,78
118,78
119,79
120,79
121,79
122,80
123,80
124,81
125,81
126,82
127,83
128,84
129,84
130,84
131,85
132,86
133,87
134,87
135,88
136,89
137,90
138,90
139,90
140,91
141,92
142,93
143,93
144,93
145,93
146,94
147,94
148,95
149,96
150,96
151,96
152,97
153,98
154,99
155,99
156,100
157,100
158,101
159,102
160,103
161,103
162,104
163,104
164,105
165,105
166,105
167,105
168,106
169,107
170,108
171,109
172,110
173,111
174,111
175,112
176,113
177,113
178,114
179,114
180,114
181,114
182,115
183,115
184,115
185,116
186,116
187,116
188,116
189,116
190,117
191,117
192,118
193,118
194,119
195,119
196,119
197,119
198,120
199,121
200,122
201,123
202,123
203,123
204,124
205,125
206,126
207,126
208,126
209,126
210,127
211,127
212,127
213,127
214,128
215,128
216,128
217,129
218,129
219,129
220,129
221,129
222,130
223,131
224,132
225,132
226,133
227,134
228,135
229,136
230,137
231,138
232,139
233,139
234,140
235,140
236,141
237,142
238,143
239,144
240,145
241,145
242,146
243,147
244,147
245,147
246,148
247,148
248,148
249,148
250,149
251,150
252,150
253,151
254,152
255,153
256,153
257,154
258,154
259,155
260,156
261,157
262,158
263,158
264,158
265,159
266,160
267,160
268,160
269,161
270,162
271,163
272,163
273,163
274,163
275,164
276,164
277,164
278,165
279,166
280,166
281,167
282,168
283,169
284,170
285,171
286,172
287,173
288,174
289,175
290,175
291,176
292,177
293,177
294,177
295,177
296,178
297,179
298,180
299,180
300,180
301,180
302,180
303,181
304,182
305,183
306,183
307,184
308,185
309,185
310,185
311,185
312,186
313,186
314,186
315,187
316,188
317,188
318,189
319,190
320,191
321,192
322,192
323,192
324,192
325,192
326,192
327,192
328,192
329,193
330,194
331,194
332,194
333,195
334,196
335,197
336,197
337,197
338,198
339,198
340,199
341,199
342,199
343,199
344,200
345,201
346,201
347,202
348,203
349,204
350,204
351,204
352,205
353,206
354,207
355,208
356,209
357,210
358,210
359,211
360,212
361,213
362,214
363,215
364,216
365,217
366,218
367,219
368,220
369,220
370,221
371,221
372,221
373,222
374,223
375,223
376,223
377,224
378,224
379,225
380,226
381,227
382,228
383,229
384,229
385,230
386,230
387,231
388,232
389,233
390,234
391,235
392,235
393,236
394,236
395,236
396,237
397,238
398,239
399,240
400,240
401,240
402,241
403,241
404,241
405,242
406,243
407,244
408,244
409,245
410,246
411,247
412,247
413,248
414,249
415,250
416,251
417,252
418,252
419,252
420,253
421,254
422,255
423,255
424,255
425,256
426,256
427,256
428,257
429,257
430,258
431,259
432,260
433,260
434,260
435,260
436,261
437,261
438,261
439,262
440,262
441,263
442,263
443,263
444,264
445,265
446,265
447,265
448,266
449,267
450,268
451,269
452,270
453,271
454,272
455,273
456,274
457,274
458,274
459,275
460,276
461,277
462,277
463,278
464,279
465,280
466,281
467,282
468,282
469,283
470,284
471,285
472,286
473,286
474,286
475,286
476,286
477,287
478,288
479,289
480,289
481,289
482,289
483,290
484,291
485,291
486,291
487,291
488,291
489,291
490,292
491,293
492,293
493,294
494,295
495,295
496,296
497,296
498,297
499,298
500,299
501,299
502,300
503,301
504,302
505,302
506,303
507,303
508,303
509,304
510,305
511,305
512,306
513,307
514,308
515,308
516,309
517,310
518,310
519,311
520,312
521,313
522,314
523,315
524,316
525,317
526,317
527,318
528,318
529,319
530,320
531,320
532,321
533,322
534,323
535,323
536,323
537,324
538,324
539,325
540,325
541,325
542,326
543,326
544,326
545,326
546,326
